"code","description"
00001,Nil
00002,Drinking
00003,Tobaco
00004,Smoking
00005,Drugs
00006,Fast Food
00007,"Non smoker , No addiction"
00008,EXERCISE ACTIVE
00009,EATING PAAN
00010,OCCASSIONAL ALCOHOL
00011,DENIED H/O SMOKING/TOBACCO
00012,H/O - SMOKING AND TOBACCO STOPPED RECENTLY
00013,H/O- BIDI SMOKER RECENTLY STOPPED
00014,BEAUTY PARLOUR
00015,ACADEMIC PROBLEMS
00016,SMOKING - 12 cigra
00017,EXERCISE.... NIL
00018,MISHRI
00019,SMOKING - OCCASIONALLY
00020,H/O - Smoking  stopped 7months ago
00021,BIDI SMOKER
00022,Smoking (6-7)
00023,HYPERURICEMIA
00024,ALLERGIC RHINITIS
00025,K/C/O PCOS
00026,BETEL NUT ADDICTION
00027,CHEWING BETEL NUT AND PAN
00028,EX SMOKER
00029,NON-ALCOHOLIC
00030,"30 ML BEFORE LUNCH, 60 ML AFTER DINNER.. ALCOHOL"
00031,doesnt drink or smoke
00032,Vegetarian diet
00033,Regular bowel and bladder movements
00034,No addictive habits
00035,Sleep is adequate
00036,Appetite has improved
00037,Appetite is good
00038,Physically active
00039,Adequate water intake
00040,Non- vegetarian diet
00041,Occasional constipation
00042,Increased frequency of micturition. No other issue
00043,Insomnia due to pain. Takes 2-3hrs to fall asleep
00044,No smoking or tobacco usage
00045,Consumes alcohol once in 2-3 months. Mostly whisky
00046,C/O disturbed sleep and difficulty falling asleep.
00047,H/O smoking 50yrs ago and alcohol 5yrs ago.
00048,irregular bowel movements
00049,Smokes 3-4 cigarettes in a week
00050,Smokes 1 cigarette per day.
00051,Was a smoker 20 years ago but he has quit now
00052,Occassional drinking.
00053,alcohol 15 yrs weekly twice
00054,inadequate intake of water
00055,disturbed sleep
00056,disturbed sleep
00057,inadequate water intake
00058,loss of appetite
00059,"Occasional smoker, takes few puffs once in a while"
00060,pan
00061,constipation
00062,Constipation sometimes
00063,constipation
00064,occasional smoking
00065,OVO Vegetarian
00066,constipation
00067,Cold feet
00068,Acidity
00069,Alcohol once a month
00070,Stubborn weight
00071,lethargic
00072,Anxiety in PMS
00073,occasional loose stools
00074,Fatigue
00075,Increase in weight
00076,Hirsutism
00077,Hairfall
00078,Reduced appetite
00079,Burning sensation
00080,Alcoholic
00081,C/O occasional constipation
00082,Alcohol-occationally
00083,moderately active physically.
00084,weight loss
00085,moderately active
00086,Stress-moderate
00087,disturbed sleep
00088,Reduced appetite
00089,Bloating
00090,H/O SMOKING 10 YEARS BACK AND STOPED LATER
