"code","description"
00001,Walk daily 2 hours
00002,30 min of moderate physical activity at least 5 days a week
00003,Good lifestyle modifications counselled
00004,"Dash diet, low salt, avoid processed foods"
00005,"Dash diet, regular exercise"
00006,"1. Weight reduction 
2. General Dietary instructions
3. Exercise atleast 10,000 steps a day"
00007,h
00008,"General dietary advise
exercise"
00009,1. General dietary advise
00010,"1. Healthy diet
2. Exercise"
00011,"1.General dietary advise
2. Exercise- 10000 steps a day minimum activity
3.BP - advised to monitor at Home - 6 readings over a period of 1 week and review"
00012,diabetic diet
00013,low carb/ low fat and high fiber diet
00014,counselled about migraine triggers
00015,"1.exercise at least10 k steps a day 
2. Healthy balanced diet"
00016,"Medicines:

cap d rise 60 k once a week for 12 weeks 
cap neurobion plus once a day for 30 days"
00017,low carb/ high fiber diet
00018,"1. Reduce cauliflower, cabbage, broccoli
2. Avoid Allergens"
00019,"diabetic diet, plate method counselled 
regular exercise - 30 min per day 
low fat/ high fiber diet 

medication 

continue oha
tab rosuvas 5 mg 0-0-1 * after food for 3 months 
cap mega 3 once a day for 3 months"
00020,"1. Reduce fatty and oily food
2. Reduce cauliflower, cabbage, Broccoli
3. Dietary advise for Hyponatraemia"
00021,Exercise regularly
00022,Rest
00023,"avoid junk/ processed foods
low salt diet 
plenty of fluids
brisk walking for 30 min a day 

meds advised

cap d rise 60 k once a week for 6 weeks 
tab. matilda forte once a day for 3 months 
cremadiet powder 2 scoops in a cup of water for 3-5 days 
tab. sompraz d 40 mg 1-0-0 * 5 days ( 30 min before food )
"
00024,"dash diet
regular exercise for 45/ min per day 
low carb/ low fat and high fiber diet

meds

cap evitol once a day for 3 months
tab naxdom 500 mg sos for migraine"
00025,"balanced diet
regular exercise for 30 min a day 
 
meds
cap mega 3 once a day for 3 months"
00026,"low carb and high fiber diet
low fat diet
regular exercise for 45/ day 

meds
cap d rise 60 once a week for 4-6 weeks
cap omega 3 once a day for 3 months
"
00027,"continue regular exercise 
high fiber diet
"
00028,"Start moderate physical activity for 5 days a week. Low carb, high fibre diet."
00029,"Balanced diet
continue moderate physical activity for a minimum of 30 min per day 
adequate sunlight exposure 

medicines advised

Cap Matilda forte once a day after food for 3months
Inj Nervijen once a week for 4 weeks ( Intra muscular route )
Cap D rise 60 k once a week for 12 weeks
"
00030,"Low carb, low fat and high fiber diet
regular exercise for 30 min per day 

meds advised

furamist az nasal spray daily in the night for 5 days
syp lupituss 7.5 ml twice a day for 5 days 
tab. signoflam twice a day for 2-3 days 
tab. sompraz d 40 once a day for 3 days ( before food )
tab. montair fx 0-0-1 * 5 days 
steam inh and salt water gargling"
00031,"Low carb, low fat and high fiber diet
vitamin b12 rich foods counselled
"
00032,Tab Metformin 500mg 1-0-1
00033,"low carb/ low fat and high fiber diet
avoid purine rich diet
regular physical activity for 30 min per day

Medicines advised :

1. INJ NERVIJEN ONE AMP IM ONCE A WEEK FOR 8 WEEKS
2. TAB. MATILDA FORTE ONCE A DAY FOR 2 MONTHS ( AFTER LUNCH )
3. CAP EVITOL ONCE A DAY FOR 3 MONTHS ( AFTER DINNER )
4. CAP D RISE 60 K ONCE A WEEK FOR 6 WEEKS 
5. TAB. SOMPRAZ D 40 MG ( 30 min BEFORE FOOD FOR HEARTBURN )"
00034,"Prescription:
Tab. Thyroxine 62.5 mcg Once in the morning for 2 months and to review after 2 months
"
00035,"Continue the medications, Follow the below for Vitamin D3. 
Reduce Vitamin D3 to once a month."
00036,Continue the medications as given.
00037,Candid Ointment for 21 days.
00038,"Continue regular Medications
Tab D rise 60k Once a week for 6 weeks. 
Current Meds:
Telvas 40 mg
Thyronorm 75mg"
00039,"Diet and exercise to continue
Prescription:
Tab. Amlocard 2.5 1-0-0 after food 
TAb Istamet D XR 500 1-0-0 after food
Tab Rosuvas 5 0-0-1 after food"
00040,"Tab ISTAMET Dxr 1000 1-0-0 after food
Tab. Cyblex Mv 80/0.3 1-0-1 30 mins before breakfast
Tab Rosuvas f10 0-0-1 after food
Tab Shelcal XT 0-1-0 after food for 3 months"
00041,"Current Medications:
Istamet 1-0-0
Amaryl 2 mg 1-0-1"
00042,Review with test results
00043,"BASE PANEL TEST 

DIABETES PACKAGE"
00044,See physio and dietician
00045,"D - RISE 60 K ONCE A WEEK - FOR 12 WEEKS
T MATILDA FORTE - ONCE DAILY FOR THREE MONTHS
MEN WELL NESS PLAN
TSH/ FREE T4 / ANTI -TPO"
00046,Tab Thyronorm 62.5 mcg 1-0-0 empty stomach
00047,"Continue the current medications taken. 
Current Meds:
Letrozole OD
Telsite 20 MG
Aspirin 75
Torsemide
Flaxseed Tab supplements
CA+Mg Supplements
Zoledronic Acid - SOS"
00048,"Fluid restriction max 2 L 
Continue tolvaptan for now
Continue usual meds for now"
00049,"Start medication
Continue with diet and exercise
Tab. Forxiga 10mg 1-0-0 before food"
00050,"Current Meds:
Prolomet 25mg
Thyronorm 25mg

"
00051,"Tabs prescribed
Sporolac 1-0-0 for 2 weeks
"
00052,"Continue the current meds except for the changes given below
Vitamin E - to be taken only alternate days
Vitamin D - Once a month only
Multivitamin - Alternate days"
00053,"soft bland diet
adequate hydration 

meds advised

tab dolo 650 1-0-1 * 2 days 
otogesic ear drops 2 drops in each ear twice daily for 3-5 days"
00054,"Capsule D-Rise 60k - once a week for 4weeks. To take the tablet in the morning in empty stomach.
Tab Met-Neurobion (Vit B12) - Once daily for 3months 
To share medications/ vitamins list"
00055,"diabetic low salt diet
"
00056,"diabetic low salt low fat and high fiber diet
regular exercise 
continue the same medications"
00057,"CAP MEGA 3 ONCE A DAY FOR 3 MONTHS
CONTINUE TAB CELONG/ SUPRACAL ALTERNATE DAY
REVIEW SOS"
00058,"Inj Lantus 20 units at bedtime 
Inj Apidra 5-9-7 units s/c 5 min before food 
Tab Lumia 60 K Units 1/ week x 8 weeks
Consider AGP - Freestyle libre
"
00059,Plan review with Dr Fred Williams- consider Topiramate for migraine and weight loss.
00060,"Continue all the old medications 
cap mega 3 once a day for 3 months
review after 3 months"
00061,"Advised:
D-Rise 60k once a week for 4 weeks on empty stomach
Review in a week if sleep not better"
00062,"Plan :
1.Inj. MEAXON GOLD or PRIMECOBAL one injection every alternate day I.M over a period of two weeks -Total of 6 injections only

After 1 week start taking 
2.Tab. Neurorexforte one tablet once daily after lunch for 3 months 
--------------- 
3.Tab.UPRISE D3 60K one tablet once weekly after breakfast for 12 weeks and then once monthly for the next 9 months"
00063,weight loss 1kg
00064,"Plan
1.Continue Vogloyd 3D one tablet once daily before break fast till review
2.Tab. Istamet 50/500 one tablet twice daily after breakfats and dinner till review 
3.Inj.Arachitol 6lakh units I.M stat and then 
4.Tab, UPRISE D3 60,000 units one tablet once weekly after breakfast for 12 weeks and then once monthly for 8 months"
00065,"1. Tab .Bandy plus one tablet after food stat and another tablet after 2 weeks . 
( two tablets only ) 

2. Tab. Uprise D3 60 K one tablet once weekly after breakfast for 12 weeks and then once monthly for 8 months 

3.Tab.Neurorexforte one tablet once daily after dinner for 3 months."
00066,"1. Continue statin
2. Inj .Meaxon Gold 1ampoule/IM/One injection every alternate day over a period of one week 
3. after the injections -start Tab. Neurorex forte one tablet once daily after dinner for 3 months
4.tab.UPRISE D3 60 k one tablet once daily after breakfast once weekly for 8 weeks and then once monthly for remaining 10 months 
5.Continue statin medication (inform the name in next visit)"
00067,"1. Inj Lantus 12 units S/C once daily before dinner till review
2. Tab. Amaryl M2 Forte one tablet two times a day before breakfast and dinner till review 
---
Check Home sugars after 3 days FBS, Postprandia - 2hours after breakfast and inform 
------------------ 
if any sweating, irritability - check sugars and inform )
--------------
Tab.Uprise d3 60 K one tablet after breakfast once weekly for 12 weeks and then once monthly for the next 8 months 
------------------"
00068,"DIABETIC DIET 
REGULAR EXERCISE 
LOW CARB/ LOW FAT AND HIGH FIBER DIET 


"
00069,"1. Aim to loose weight by Lifestyle modifications-target BMI around 23
2.continue the present medications 1. thyronorm 50mcg one tablet once daily 30 minutes before breakfast on empty stomach till review
3.continue with Vit D 60000 units supplementation once weekly after breakfast till review
4.continue Tab. calcimax one tablet once daily after food 
5.can stop Rozavel 10mgs 
"
00070,"1. Inj.Meaxon Gold or primecobal I.M/ one injection every alternate day for one week - Total of 3 injections
and then 

2. Tab.Neurorexforte one tablet once daily after dinner for 2 months
3. Tab. UPRISE D3 60 K one tablet once weekly after breakfast for 12 weeks and then once monthly for the next 8 months
4. Continue his regular medication -antidiabetic and statin therapy as advised"
00071,"A) Inj.Primecobal or Meaxon Gold 1ampoule /IM/ ALTERNATE DAYS over a period of 1 week 
B} Tab. UPRISE D3 60 K one tablet once weekly after breakfast for 12 weeks and then once monthly for the next 8 months 


"
00072,cap omega 3 fa once a day for 3 months
00073,Steam inhalation.
00074,"Iron fortified diet 
low carb/ low fat and high fiber diet
regular exercise for 30 min per day 
continue tab janumet 50/500, tab telma 40 od"
00075,"low fat/ low carb and high fiber diet 
brisk walking for 30 min per day 
continue the rest of the medicines"
00076,1. Lots of fluids
00077,"1. Tab. Rosuvas 10mgs one tablet once daily after dinner till review
2.Continue his regular medication Lodoz , cilacar and Vit D supplements as advised.
3. Reduce the intake of cabbage, cauliflower and Broccoli
-------------------------------
4.CHECK HOME Blood pressure readings -morning and evening for 3 days - 6 readings and review with BP readings after 1 week
"
00078,"1. continue the regular medication GLYKIND as advised now
2. Tab. UPRISE D3 60 K one tablet once weekly after breakfast for 12 weeks and then once monthly for the next 8 months
3.Inj. Maexon Gold or Primecobal 1ampoule/IM/every alternate day - 3 injections over a period of 1 weeks
4. tab.Neurorex forte one tablet once daily after dinner for 3months 

----------------------
Discussed about medications for Dyslipidaemia - would like to do strict Lifestyle modifications for 3 months and then repeat test and if still high LDL -to start medications."
00079,"tab amoxyclav 625 mg bd for 7 days
tab pan d once a day for 7 days 
tab cranpac d twice a day after food for 2 weeks 
plenty of fluids
review after 3 weeks with urine routine"
00080,1.Tab.UPRISDE D3 60K one tablet once daily after breakfast for 12 weeks and then once monthly for the next 8 months
00081,"1.Tab .UPRISE D3 60 K one tablet once weekly after breakfast for 8 weeks and then once monthly for next 10 months. 
2.Anusol HC cream or Anovate Cream - apply locally for Haemmoroids two times a day after bowel motion for 2 weeks
------
3. Home B.P readings - 5 days - 10 readings and review"
00082,"1.Tab. Cilacar T 10/40 one tablet once daily in the morning after breakfast till review ( only if BP > 140/90 )
2. tab. ROSUVAS 5mgs one tablet once daily after dinner till review
3.tab.Febutaz 40 mgs one tablet once daily after breakfast
3. Tab. UPRISE D3 60 K one tablet once weekly after breakfast for 12 weeks and then once monthly for 8 months
3. InJ. MeaxonGold or Primecobal 1ampoule/IM/ alternate days - Total 6 injections over a period of 2 weeks 
------
reduce cauliflower/cabbage and Broccoli"
00083,"1. Tab Uprise D3 one tablet once weekly after breakfast for 12 weeks and then once monthly for 8 months
2.Tab.VOGLYOD 3D 2.3 one tablet two times a day before breakfast and dinner till review 
 3.Tab Istamet one tablet two times a day before breakfast and dinner till review 
4. continue Tab Telmisartan 20mg once daily
5. continue Tab Atorvastatin 20mg once daily
6.Reduce cauliflower and cabbage"
00084,"STOP TAB GLIMIPERIDE 
TO TAKE
TAB RECLIMET XR 60 MG 1-0-0 * BEFORE BREAKFAST
TAB SITAGLIPTIN 100 MG 0-0-1 * AFTER DINNER 
TO CONTINUE TAB CARVEDILOL 6.25 MG TWICE A DAY AFTER FOOD AS BEFORE
TO ADD TAB CILACAR 5 MG IF BP > 150/90 MMHG
TAB REJUNEX CD3 ONCE A DAY FOR 2 MONTHS 
TO MONITOR BP AT HOME AND INFORM IF BP STILLHIGH"
00085,"General: Vittal appears well-nourished and in no acute distress.
Cardiovascular: Normal heart sounds, no murmurs.
Respiratory: Clear breath sounds.
Abdomen: Soft and non-tender, no palpable masses.
Extremities: No edema.
Neurological: No focal deficits."
00086,Change Reclimet XR 60mg once daily to twice daily.
00087,Test
00088,"1. Inj. Meaxon Gold 1 ampoule / IM /alternate days - 3 injections over a period of one week
--
2. (start after injections )
 Tab. Neurorexforte one tablet once daily after dinner for 3 months 
3. Tab. UPRISE D3 60 K one tablet once weekly after breakfast for 12 weeks and then once monthly for 8 months . 
4. Cremadiet powder- take 2 Spoonfuls and mix with water and drink at night . ( STOP IF LOOSE MOOTIONS) 
5. Econorm sachets -one sachet once daily for one week after dinner 
 ( Probiotic)"
00089,"1. Inj. Meaxon Gold 1ampoule/ I.M / every alternate days - 3 injections over a period of one week. 
followed by
2.Tab. Neurorexforte one tablet once a day after dinner for 2 months
------ 
3. Inj.Arachitol 6lakh units I.M one injection once only 
4.after a week of having injection
Tab.UPRISE D3 60 K one tablet once daily after breakfast for 8 weeks and then once monthly for next 10 months"
00090,"1. Inj. Meaxon Gold 1ampoule/IM/ every alternate day - Total three injections in one week
2.Tab. Uprise d3 one tablet after breakfast once weekly for 12 weeks and then once monthly.
3. Follow the dietary advise for sub clinical Hypothyroidism"
00091,"Tab Galvusmet 50/500 1-0-1 after food 

Tab Gemer 0.5 1-0-0 before food 

tab Urimax 0.4 mg 0-0-1 after food

Tab atorva 5 mg 0-0-1 after food 
 Tab ecosprin 75 mg 0-1-0 after food

"
00092,"Modify diet as much as possible 

Tab Reclimet XR 60/500 1-0-1 after food 
Tab Sitagliptin 100 mg 1-0-0 after food
Tab Diamicron XR 60 0-1-0 30 min before food 
 
Tab Nexpro RD 40 1-0-0 before food x 10 days"
00093,"1. Inj.Meaxon Gold or Meaxon Plus 1 ampoule/IM/Alternate days - Total of 3 injections over a period of one week 
 After a week of having injections start
2.Tab.Neurorexforte one tablet once daily at night for 2 months 
----
3.Tab. UPRISE D3 60 K one tablet once weekly after breakfast for 8 weeks and then once monthly for 10 months
---
STOP Ubercal tablet 
Continue other tablets for for hypertension and cholestrol"
00094,INJ. INFLUENZA VACCINE O.5 ML IM STAT
00095,"1. Stop Calcium supplements
2. smoking cessation advise issued 
3.Inj. Meaxon Gold or Meaxon Plus one injection /IM/ every alternate day - Total 3 injections over a period of one week
4.Tab.UPRISE D3 60 K one tablet once weekly after breakfast for 12 weeks and then once monthly for 8 months.
5. continue his regular antihypertensive medication"
00096,"1. Inj. Meaxon Gold or Meaxon Plus - one injection every alternate day /IM/ over a period of one week. 
2.Tab. UPRISE D3 60K one tablet once weekly after breakfast for 12 weeks and then once monthly for 8 months. 
--
3. Tab LIPICARD 160 mgs one tablet once daily after dinner for 3 months"
