"code","description"
00001,Allergic To Chicken
00002,Allergic To Penicillin
00003,Drug Allergy Penicillin
00004,Allergic To Certain Pulses
00005,"Allergy To Steel,Gets Rashes And Itching On Contact."
00006,"Allergy To Pollen And Dust
Metal Allergy -Other Than Gold"
00007,Allergy To Dust And Pollen-Episodes Of Asthma
00008,Allergic To Soda
00009,Food History: Milk And Wheat
00010,Restaclin
00011,"Allergic To Combiflam
"
00012,Allergic To Penicillin Ibuprofen
00013,"Allergic To Mushroom And Egg.
Medication Allergy She Does Not Remember."
00014,"Frequent Rash On Neck And Elbow,Allergen Not Noticed.Not A/W Itching."
00015,Sulpha Drugs
00016,Allergic To Sea Food
00017,Allergic To Pollen Grains
00018,"Lactose Intolerant, Feels Constipated."
00019,Allergic To Sulpha Drugs
00020,"Allergic To Analgesics ,Develops Skin Rashes"
00021,"Allergic To Tamarind/Tamarind Containing Dishes, Develops Sneezing."
00022,", Allergic To Peanuts, Develops Rashes All Over The Body. Also, Allergic To Dust, Develops Rashes. She Takes Tab. Citrizine For The Same."
00023,Nonspecific Allergy Since 7 Years
00024,Allergic To Spicy Foods
00025,"Allergic To Dust, Develops Sneezing, Runny Nose Lasting For About 2 Hrs, Relieves By Itself.
Uses Nasal Masks As Preventive Method."
00026,"Allergic To A Medication Prescribed For Diarrhea In The Past (Unable To Recall Its Name Exactly), Probably Norfloxacin"
00027,Prawns/ Septran
00028,"Allergic To Fog
No H/O Food Or Drug Allergy"
00029,"Allergic To Dust, Develops Sneezing (10-12 Sneezes In Each Frequency)"
00030,"Allergic To A High Dose Medication, Developed Weakness (Name Would Be Uploaded On Support@Tatamd.Com)"
00031,"Allergic To Tamarind And Sour Foods, Develops Swelling All Over Body"
00032,Allergic Reaction Noticed To Chocolates From Finland. Rashes And Redness Were Noticed.
00033,Allergy To Pollen And Dust Metal Allergy -Other Than Gold
00034,Allergic To Parthenium. Induces Excessive Sneezing.
00035,Allergic To Parthenium And Pollen.
00036,Allergic To Sulpha Drugs.
00037,Dust Allergy
00038,Allergic To Jack Fruit And Buffalo Milk That Has Been Collected Immediately After Giving Birth.
00039,"Allergic To Sea Foods ,Develops Swelling Around The Mouth And Itching Over The Ear."
00040,Allergic To Yam.
00041,Allergic To Mushrooms
00042,Unknown Allergen. But Frequent Development Of Rashes And Itching On Forehead And Nape Of The Neck. Relieved After Applying Halobetasol Propionate Ointment. Last Episode Was 3 Days Ago.
00043,She Is Allergic To Chloroquine. She Had Lactose Intolerance And Gluten Allergy In Childhood. Now She Is Fine.
00044,"Allergic To Xylocaine, Developed Itching During Surgery In Jan 2024. Allergic To Chewing Gum, Developed Hives And Itching."
00045,Allergic To Penicllin And Duvadilon. Allergic To Prawns And Paneer.
00046,Allergic To Mutton
00047,"Allergy To Food {Gram Flour }, Grapes And Has Gastric Symptoms To Certain Medication In General"
00048,Allergic To Tab Ceftum
00049,"Allergic To Tick. Last Episode 1 Month Back. Rashes All Over The Abdomen, Groin Area And Thighs. Rashes Have Reduced After Consuming Medications And Using Lotion."
00050,She Is Allergic To Sulphur Drugs.
00051,"Allergic To Dust , Pollens"
00052,"Gluten Allergy
"
00053,Allergic To Ivy Gourd
00054,May Be Lactose Intolerant. Never Tested.
00055,Acidic Foods Cause A Gastric Allergic Reaction Leading To Bloating And Headache
00056,Extremely Sensitive To Oily Food Causing Him To Immediately Void Or Increased Sensation
00057,To Food Mutton
00058,Allergic To Crocin. Developed Rashes All Over The Body 15 Years Ago.
00059,Gooseberry.
00060,Develops Rashes After Consuming Capsicum And Mushroom.
00061,"Allergic To Beans, Coffee"
00062,Yam
00063,Allergic To All Kinds Of Fish.
00064,Allergic To Crustaceans.
00065,Allergic To Beef. Develops Swelling Of Gums And Rashes.
00066,Lactose Intolerance
00067,Allergic To Brinjal.
00068,Allergic To Brinjal And An Unknown Green Leafy Vegetable.
00069,Corn - Breathlessness
00070,Allergic To Eggs.
00071,"Allergic To Egg, Sunflower Oil. Develops Allergic Rhinitis When There Is A Change Of Weather."
00072,Gluten And Lactose Intolerant
00073,Dust Allergy.
00074,Urticaria.
00075,Allergic To Sulfa Drugs.
00076,Allergyic to Dust
00077,Mouth Feels Itchy After Consuming Sabudana
00078,Food - Outside Food ( More Because Of Oil )
00079,For Cakes - Throat Irritation
00080,Ice Cubes
00081,Allergic To Prawns.
00082,Sea Food Crab
00083,To Tab Azithromycin
00084,Allergic To Fish
00085,"Gets Rashes After Consuming Milk But Not Every Time, Allergic To Ultra Proccesed Fast Food With Added Colour"
00086,Asparin Since 25 Yrs
00087,Jack Fruit
00088,"Allergic To Iron Injection, She Developed Rashes."
00089,"Suspecting Intolerance To Diary , Gluten Etc"
00090,No known allergies.
00091,No allergies
00092,No known allergies
00093,Develops itching and rashes when in Bangalore
00094,Food intolerance
00095,ALLERGIC TO certain plants
00096,NOT ALLERGIC TO ANY MEDICATION OR SUBSTANCE
00097,eye irritation unknow source
00098,none
00099,nonr
00100,no
00101,Dermagraphism
00102,h/o allergy to unknown substance 1 year back
00103,no known medical allergies
00104,no known allergy
00105,Drumsticks
00106,Allergy having Pineapple
00107,Allergic to shell fish
00108,Allergic to Fennel seeds
00109,Suspected allergies to Timidazole
00110,Penicillin sensitive
00111,no known allergy history
