"code","description"
00002,Backpain
00003,Neck pain
00005,Chest pain radiating to left upper limb
00006,Chest pain with jaw pain
00007,Chest pain with choking sensation
00008,Retrosternal compressive pain
00009,Retrosternal compressive pain radiating to left upper limb
00010,AOE I
00011,AOEII
00012,AOEIII
00013,DOE I
00014,DOE II
00015,DOE III
00016,Angina equivalent
00017,Syncope
00018,Transient loss of consciousness
00021,Abdominal distension
00022,Ascites
00025,Perspiration
00026,Gabhraman
00027,Uneasiness
00028,PVD
00030,Gangrene
00031,Acute limb ischemia
00032,Chronic limb ischemia
00033,History of fall
00035,haemorragic stroke
00036,CVA
00037,TIA
00038,Congenital heart disease
00039,Complex congenital heart disease
00040,Cyanotic complex congenital heart disease
00041,Cyanosis
00042,PCI with stent
00043,PCI without stent
00045,Decreased urine out put
00046,Chest pain typical
00047,Chest pain atypical
00048,Smoking
00049,Tobacco
00050,Alcohol
00051,Loss of appetite
00054,Vertigo
00055,Throat pain
00056,Oral ulcers
00057,Peptic ulcer
00058,Duodenal ulcers
00059,p/sclerotherapy
00060,p/banding
00061,helitosis
00063,Presyncope
00065,Diabetes type 1
00066,Diabetes type 2
00067,Diabetes type 1 controlled
00068,Diabetes type 1 uncontrolled
00069,Diabetes type 2 uncontrolled
00070,Diabetes type 2 controlled
00071,Hypertension
00072,Hypothyroidism
00074,Hyperlipidemia
00075,Hyper triglyceridemia
00076,Diarrhea
00077,Vomiting
00078,nausea
00079,Constipation
00080,Increase frequency of urination
00083,Malena
00085,Dysmenorrhea
00086,Skin rashes
00087,Hematuria
00088,Leg cramps
00089,Pain at angio site
00090,Insomnia
00094,P/ASD closure device
00095,P/ASD closure – surgical
00096,P/VSD closure device
00097,P/vsd closure  surgical
00098,P/CABG
00099,P/PABG
00100,P/PTA
00101,P/Renal plasty
00102,p/ permanent pacemaker implantation single chamber
00103,p/ permanent pacemaker implantation dual chamber
00104,p/ permanent pacemaker implantation single chamber MRI –C
00105,p/ permanent pacemaker implantation dual chamber  MRI –C
00106,P/AICD  single chamber
00107,P/ AICD dual chamber
00108,P/CRT P
00109,P/CRT D
00110,P/OP TOF
00111,P/BD GLEN
00112,RHD P/BMV
00113,RHD P/OMC
00114,P/AVR metallic
00115,P/MVR  metallic
00116,P/ AVR bioprosthetic
00117,P/MVR bioprosthetic
00118,P/DVR metallic
00119,P/DVR bioprosthetic
00120,P/TAVR
00121,P/AAA repair
00122,P/EVAR
00123,P/EPS RFA
00124,Tremors
00125,Parkinsonism
00126,P/ TKR
00127,P/TURP
00128,Pulmonary kochs
00129,P/Pericardiocentesis
00130,Survival of SCA
00131,K/C/O LQT
00132,Out of hospital cardiac arrest –revived
00133,H/O vasovagal syncope
00134,Brugada syndrome
00135,Takatsubo disease
00136,Stress ardiomyopathy
00137,DCMP
00138,Peripartum Cardiomyopathy
00139,Hyperhomocystenemia
00140,Postural fall
00141,Postural syncope
00142,Drug defaulter
00143,H/O NSAID abuse
00144,MCTD
00145,SLE
00146,Systemic sclerosis
00147,H/O steroid abuse
00148,Rheumatoid Arthritis
00149,Fever with migrating joint pain
00151,Osteoarhtrits
00152,Yellowish discoloration of sclera
00153,Jaundice
00154,"Bluish discoloration of toe, lips"
00155,Bluish discoloration on crying
00156,H/O Pulmonary Embolism
00157,Uilateral Leg edema
00158,Adriamycin Cardiomyopathy
00159,P/surgery for Ca breast (CT and RT completed)
00160,P/surgery for Ca prostrate
00161,Thalassemia Major
00162,Thalassemia Minor
00163,Thalassemia Trait
00164,Aspirin Allergy
00165,Mild LV dysfunction
00166,Moderate LV dysfunction
00167,Severe LV dysfunction
00168,Hemodialysis
00170,Recurrent fever
00171,Rash
00172,Chills and rigors
00173,Bleeding Diathesis
00174,Petechial Hemorrhages
00175,Multiple nonspecific  vague complaints
00176,Erectile dysfunction
00177,Forgetfulness
00178,Loss of Memory
00179,Irritability
00180,Excessive Sleepiness
00181,Snoring
00182,A/H/O FALL
00183,ACUTE LOW BACK PAIN
00184,ACUTE ONSET CERVICAL PAIN WITH SPASM
00185,ACUTE ONSET DORSO-LUMBAR PAIN FOLLOWING VEHICULAR JERK
00186,ACUTE ONSET DORSO-LUMBAR PAIN WITH SPASM
00187,ACUTE ONSET LBP WITH SPASM
00188,ANKLE PAIN
00189,Ankle swelling
00190,Avascular Necrosis
00191,B/L Avascular Necrosis (AVN)
00192,B/L CALF MUSCLE PAIN
00193,B/l flat feet
00194,B/L GROIN PAIN
00195,B/l knee and feet pain
00196,B/L knee pain
00198,b/l SI jt pain
00199,B/L TKR
00200,bilateral trapeziues pain
00201,Bilateral wrists pain and stiffness
00202,Blunt chest trauma
00203,Both heel pain
00205,BOTH UPPER LIMB PAIN
00206,burning feet
00207,C/O Knee Pain
00208,CERVICO-DORSAL PAIN
00209,CERVICO-DORSAL PAIN WITH STIFFNESS
00210,CHRONIC LOW BACK PAIN+
00211,coccydynia
00212,Complaints much improved
00213,CRAMPS IN BOTH LL
00214,CX pain with referred radicular pain to LT UL
00215,CX pain with referred radicular pain to RT UL
00216,DEPENDENT OEDEMA
00217,DIFFCULTY IN WALKING
00218,DIFFICULTY IN CLIMBING STAIRCASE
00219,DIFFICULTY IN CROSS LEGGED SITTING
00220,DIFFICULTY IN HOLDING OBJECTS
00221,DIFFICULTY IN WALKING AND IMBALANCE
00222,difficulty while walking
00223,Discharge from
00224,DIZZINESS +
00225,Elbow pain
00226,ELBOW SWEELING
00227,F/U CASE
00228,F/U CASE OF ACUTE DISCOGENIC PAIN
00229,finger tip crush injury
00230,Fleeting muscle pain
00231,FOLEY'S CATHETER IN SITU.
00232,For Evaluation of Fitness
00233,Forearm swelling
00234,Fracture
00235,FRACTURE RADIAL STYLOID
00237,GLUTEAL PAIN
00238,H/O - HTN/DM/IHD
