"code","description"
00001,Simple Varicose Veins                                                                               
00002,Acquired trigger finger                                                                             
00003,Chest pain                                                                                          
00004,Diabetes Mellitus without Complication                                                              
00005,Classical Migraine                                                                                  
00006,Diabetes mellitus                                                                                   
00007,Vitamin B12 Deficiency (Non Anemic)                                                                 
00008,Hypertension                                                                                        
00009,Ophthalmic Migraine                                                                                 
00010,personal history of renal calculi                                                                   
00011,Dyslipidemia                                                                                        
00012,Subclinical Hypothyroidism                                                                          
00013,Asthma                                                                                              
00014,Hypothyroidism                                                                                      
00015,Ulcerative Colitis                                                                                  
00016,Dry Skin                                                                                            
00017,"Diabetes mellitus, type 2                                                                           "
00018,Growth delay                                                                                        
00019,HER-2 positive carcinoma of breast                                                                  
00020,Fatty Liver                                                                                         
00021,Benign Prostatic Hypertrophy without Lower Urinary Tract Symptoms                                   
00022,Syndrome of Inappropriate Secretion of Antidiuretic Hormone                                         
00023,Sleep disorder                                                                                      
00024,Migraine                                                                                            
00025,Simple Obesity                                                                                      
00026,lumbar scoliosis                                                                                    
00027,Weight Gain Finding                                                                                 
00028,"Diabetes mellitus, type 1                                                                           "
00029,Sleep Deprivation                                                                                   
00030,Nutritional Deficiency                                                                              
00031,Type II Diabetes Mellitus with Neurological Manifestations                                          
00032,Vitamin deficiency                                                                                  
00033,"Diabetes Mellitus Type II, Controlled, with no Complications                                        "
00034,Urinary tract infection                                                                             
00035,Vitamin d deficiency                                                                                
00036,Elevated blood pressure                                                                             
00037,Obesity                                                                                             
00038,Ischemic Heart Disease                                                                              
00039,Coronary heart disease                                                                              
00040,Polycystic Ovaries                                                                                  
00041,Back pain                                                                                           
00042,Waldenstrom's Macroglobulinemia                                                                     
00043,history of hypertension                                                                             
00044,Relative Polycythemia                                                                               
00045,Primary Hypertriglyceridemia                                                                        
00046,Subacute Thyroiditis                                                                                
00047,Overweight                                                                                          
00048,Vertigo                                                                                             
00049,Anaemia                                                                                             
00050,Uncontrolled Diabetes Mellitus                                                                      
00051,Female infertility                                                                                  
00052,"Anemia, iron deficiency                                                                             "
00053,Irregular menstrual cycle                                                                           
00054,Primary Idiopathic Hypertrophic Cardiomyopathy                                                      
00055,sports injury                                                                                       
00056,Vitamin B Deficiency                                                                                
00057,Uncontrolled hypertension                                                                           
00058,history of hypothyroidism                                                                           
00059,Pregnant - Planned                                                                                  
00060,Dysmenorrhea                                                                                        
00061,Morbid Obesity                                                                                      
00062,Impaired Glucose Tolerance                                                                          
00063,Vaginal Dryness                                                                                     
00064,Viral Pharyngitis                                                                                   
00065,Hyperthyroidism                                                                                     
00066,Nonproliferative Diabetic Retinopathy                                                               
00067,Allergy                                                                                             
00068,Cough                                                                                               
00069,Upper respiratory infection                                                                         
00070,Chronic Low Back Pain                                                                               
00071,Hypercholesterolemia                                                                                
00072,Allergic rhinitis                                                                                   
00073,allergic cough                                                                                      
00074,Paralytic Stroke                                                                                    
00075,Fever                                                                                               
00076,Vitamin Disease                                                                                     
00077,Allergic Asthma                                                                                     
00078,Knee Injury                                                                                         
00079,Peripheral neuropathy                                                                               
00080,Nutritional Anemia                                                                                  
00081,Rheumatoid arthritis                                                                                
00082,Seborrheic Dermatitis of Scalp                                                                      
00083,acute constipation                                                                                  
00084,Diabetes Mellitus with Complication                                                                 
00085,Recent weight loss                                                                                  
00086,Type I Diabetes Mellitus - Poor Control                                                             
00087,Amenorrhea                                                                                          
00088,Urticaria                                                                                           
00089,Ankle Injury                                                                                        
00090,Seborrheic Dermatitis                                                                               
00091,Gastroesophageal reflux disease                                                                     
00092,Prepatellar Bursitis                                                                                
00093,Secondary Diabetes Mellitus                                                                         
00094,High Blood Triglycerides                                                                            
00095,Gastroenteritis                                                                                     
00096,Constipation                                                                                        
00097,Low back pain                                                                                       
00098,Hyperprolactinaemia                                                                                 
00099,"Chest Pain, Musculoskeletal                                                                         "
00100,Chronic Gastritis                                                                                   
00101,Self-Limiting Autoimmune Thyroiditis with Transient Hyperthyroidism and/or Hypothyroidism           
00102,"Diabetes Mellitus, Latent                                                                           "
00103,chronic idiopathic urticaria                                                                        
00104,Gestational Diabetes                                                                                
00105,Goiter                                                                                              
00106,Papillary Thyroid Carcinoma                                                                         
00107,Chronic diarrhea of unknown origin                                                                  
00108,Severe Hypothyroidism                                                                               
00109,Overweight (BMI 25.0-29.9)                                                                          
00110,Pituitary Adenoma                                                                                   
00111,Epilepsy                                                                                            
00112,Simple Constipation                                                                                 
00113,sprain and strain of hip                                                                            
00114,club foot                                                                                           
00115,Chronic obstructive pulmonary disease                                                               
00116,Ankle Swelling                                                                                      
00117,Essential hypertension                                                                              
00118,Iatrogenic Hypothyroidism                                                                           
00119,Chronic Urticaria                                                                                   
00120,Ventricular Ectopic Beats                                                                           
00121,Postsurgical Percutaneous Transluminal Coronary Angioplasty Status                                  
00122,Fertility Problem                                                                                   
00123,Onychomycosis of Toenails                                                                           
00124,Acute Gastroenteritis                                                                               
00125,Gastritis                                                                                           
00126,Generalised abdominal pain                                                                          
00127,Multinodular goiter                                                                                 
00128,Thyroiditis                                                                                         
00129,Endometriosis                                                                                       
00130,"Respiratory tract infection, lower                                                                  "
00131,Bike Accident                                                                                       
00132,Chronic Instability of Knee                                                                         
00133,Corn                                                                                                
00134,Graves' Disease                                                                                     
00135,Acanthosis nigricans                                                                                
00136,Paroxysmal Atrial Fibrillation                                                                      
00137,Hordeolum                                                                                           
00138,Bronchitis                                                                                          
00139,Acute Upper Respiratory Infection                                                                   
00140,Prolactinoma                                                                                        
00141,Achilles Tendinitis                                                                                 
00142,Chondromalacia of patella                                                                           
00143,Left Bundle Branch Block                                                                            
00144,Mechanical Low Back Pain                                                                            
00145,Craniopharyngioma                                                                                   
00146,Diabetic Autonomic Neuropathy                                                                       
00147,diabetes mellitus type 2 in nonobese                                                                
00148,Impaired Fasting Glucose                                                                            
00149,Adhesive capsulitis of shoulder                                                                     
