"code","description"
P000001300          ,Tab Calpol 650 MG
P000001301          ,Tab Calpol T
P000001302          ,Tab Caltross
P000001303          ,Tab Carbophage XR 500 MG
P000001304          ,Tab Carca 12.5 MG
P000001305          ,Tab Carca 3.125 MG
P000001306          ,Tab Carca CR 10 MG
P000001307          ,Tab Carca CR 20 MG
P000001308          ,Tab Cardace 1.25 MG
P000001226          ,Tab Azithral 500 MG
P000001227          ,Tab Azoran 50 MG
P000001228          ,Tab Aztor 10 MG
P000001229          ,Tab Aztor 20 MG
P000001230          ,Tab Aztor 40 MG
P000001231          ,Tab Aztor 80 MG
P000001232          ,Tab Azulix 1 MF
P000001233          ,Tab Azulix 1 MF Forte
B0100000000000000009,K Wire 1.5 2 Abbott
B0100000000000000010,K Wire 1.5 4 Abbott
B013000000000000020C,DVI Cable MAJ 2316
B013000000000000022V,WA53005A Telescope 10 MM 30 Degree
G000000594          ,T Brush Soft
G000000595          ,T6 Cleaner 5L
G000000596          ,Table Bell
G000000597          ,Tea Coffe Sheet
G000000598          ,Tea Coster
S00300000000000001ZU,Balloon Mustang OTW 5 MM x 100 MM x 135 cm
S003000000000000020A,Self Expanding Stent Absolute Pro OTW 7.0x120x135
S003000000000000020J,Coronary DES Resolute Onyx 4.0x34 MM
S003000000000000020W,Hydrosoft 3D Coil 4x15 100415 HFRM
S003000000000000022H,Fred 4528 4.5x34x28
S003000000000000022I,Complex Frame Coil 13 MM 43 CM 9000821343FR18 Bal
P0180000000000000123,Inj Nervup
P0180000000000000124,Tab Telma 80 MG
P018000000000000015P,Inj Adrenor 2 ML
P0180000000000000160,Enema Proctolysis PRO
P0180000000000000161,Tab Drotin
P0100000000000000106,Tab Dolo 650 mg (new)
P0100000000000000107,Tab Dolowin 300 M Abbott
P0100000000000000108,Levram L Tube Double Cap Sodium Citrate 300 MG Celon
B000000130          ,Procedure Table
B000000131          ,Rotablator
B000000132          ,Sealing Machine
B000000133          ,Short Wave Diathermy
B000000134          ,Shoulder Ladder
B000000135          ,Shoulder Wheel Round
B000000136          ,Steam Sterilizer
B000000137          ,Stimulator Unit
B000000138          ,Syringe Pump 1 Channel
B000000139          ,Syringe Pump 2 Channel
B000000140          ,Syringe Pump 4 Channel
B000000141          ,Thermal Printer Carestream
B000000146          ,Ultra Sonic Cleaner
B000000147          ,Ultrasonic Unit Double
B000000148          ,Urine Analyzer
B000000149          ,USG Machine 4 Probe
B000000150          ,USG Portable
B000000151          ,Doppler D580 With Fixed 8Mhz Transducer
B000000152          ,Ventilator E3 (2017)
B000000153          ,Ventilator E3 (2019)
B000000154          ,Ventilator E5
B000000155          ,Ventilator SV300
B000000156          ,Washer
B000000157          ,Wax Bath Unit
S000000076          ,Amphiron Balloon 2.0x80 AMD
S000000077          ,Amphiron Balloon 2.5x120 AMD
S000000078          ,Amphiron Balloon 3.0x80 AMD
S000000079          ,Amplatz Sheth 20F
S000000080          ,Amplatzer Vascular Plug-2 12 MM Bard
