"code","description"
00001,Itli
00002,Testing
00003,Hypertension
00004,Diabetes
00005,IHD
00006,Stroke
00007,CABG
00008,P/PTCA
00009,Surgery for right sided back basal cell carcinoma
00010,CKD
00011,"cva 3 years back, on regular tab ecospprin"
00012,Post BMV (2009)
00013,Hypothyroidism
00014,Dyslipidemia
00015,Drug Defaulter
00016,Dilated Cardiomyopathy
00017,"No H/O DM, HT or IHD"
00018,Sigmoidectomy for cancer before 3 years
00019,H/O Hysterectomy 2 years back
00020,History of Tuberculosis
00021,"Metastatoc tp spine, carcinoma prostate, operated"
00022,"UTI, treated with antibiotics"
00023,Thalassemia Minor
00024,Depression
00025,cancer
00026,Left Hip Surgery
00027,H/O Hysterectomy before 8 months
00028,Surgery for small bowel GIST before 2 years
00029,Operated for ulcerative colitis and incisional her
00030,Ca Breast
00031,Operated for uterine malignancy
00032,Left hepatectomy for intrahepatic cholangioca.
00033,Lap Fundoplication feb 2019
00034,Ca. Ascending colon with liver mets
00035,H/O Hysterectomy
00036,Polycythemia-vera
00037,Left nephrectomy before 6 months
00038,Bronchial Asthma
00039,Gout
00040,COPD
00041,Operated for parathyroid adenoma
00042,Hyperuricemia
00043,Surgery for piles by ksharshutra before 2 years
00044,Cirrhosis of Liver
00045,Anti-synthetase syndrome
00046,Ileocaecal resection
00047,urosepsis with E.coli - meropenem 14 days
00048,Laparotomy before 8 years
00049,Impaired Glucose Tolerance
00050,TKR
00051,Hyperthyroidism
00052,Parkinsonism
00053,BPH
00054,Repair of recurrent hernia 2017
00055,"No H/O DM, HT, IHD"
00056,Recurrent Ca. Ovary
00057,DENIES CO-MORBID ILLNESS
00058,NO H/O IHD
00059,NOH/O DM
00060,Stable angina on anti platelets and statin
00061,ILD
00062,Epilepsy
00063,Rheumatoid Arthritis
00064,CAG Done on 01/11/2019 S/O CAD : TVD
00065,CAG done on 25/01/2021 S/O CAD : LM-TVD
00066,DM
00067,S/P PTCA (1995 & 2007)
00068,Myasthenia Gravis
00069,Metastatic RCC- operated on chemo
00070,chronic liver disease
00071,rescent H/O covid 19
00072,DM II
00073,HTN
00074,DM II HTN
00075,PLHA
00076,Ca Prostate
00077,"DM, HTN, CKD on MHD, Old AWMI"
00078,"DCMP, Severe LV Dysfunction"
00079,Recently detected DM II
00080,Bariatric surgery
00081,NHL(DLBCL) since 2015- treated
00082,Appendicectomy+
00083,Psychiatric illness
00084,"DM II, HTN"
00085,CLL
00086,TIA
00087,Laparotomy for koch's abd before 10 years AKT take
00088,None
00089,CAD s/p PTCA 7.7.21 Recently diagnosed T2DM
00090,HOCM  x 1979
00091,nil
00092,HT
00093,"AUTOIMMUNE PSORIASIS SINCE AGE 15(ON  TOPICAL MEDICATION , USED TO TAKE ORAL MEDICATION BUT RECORDS LOST )"
00094,TB
00095,Patient had TB in 2020.
00096,"PCL tear grade 3 in the right knee, resolved with medications."
00097,No significant past history.
00098,H/O appendicectomy
00099,H/O hypothyroidism was on medications for 1 year and resolved after that.
00100,H/O B/L cataract surgery
00101,H/O sciatica
00102,No significant surgical history.
00103,Patient is a K/C/O PCOS for 10 years.
00104,PCOS
00105,Migraine
00106,H/O left frozen shoulder 10yrs ago. Underwent key-hole surgery but no improvement. Then healed with naturopathy.
00107,Cervical polypectomy 8 years ago.
00108,H/O low mood and depressive episodes. Improved on therapy sessions.
00109,Grade 1 LVDD
00110,Grade 1 fatty liver
00111,Patient recorded her blood pressure for 1 week in her house and the readings were on the higher side and today Dr. Fred advised her to start on Tab Amlong 2.5 mg. Patient got USG 2 years ago which showed grade 1 fatty liver.
00112,"PCOS. (Regular menstruation for the last 1 year with a periodicity of 26-28 days. Menstruation lasts for 4-5 days with heavy bleeding, clots present, uses 4-5 pads per day)"
00113,H/O open right ovarian cystectomy in 2022.
00114,H/O uterine myomectomy in 2014
00115,H/O 2 C sections in the past
00116,nothing significant
00117,Had a stent placement surgery 20 years ago.
00118,H/O right side salpingectomy done in 2021
00119,Was diagnosed with Covid 19 in 2020 and was hospitalized for over 40 days.
00120,Tracheostomy was performed when admitted for Covid 19
00121,H/O previous surgeries for sports hernia (ilio-psoas) in 2019 and 2020
00122,Patient is hypertensive and is on Vinicor Am 2.5/25
00123,Had a history of allergic reaction (skin rashes) to sulphonamide class of drugs 15 years ago
00124,Had a history of an allergic reaction to sulfa group of drugs (skin rashes) 15 years ago.
00125,none . not a k/c/o DM HTN & THYROID
00126,gastritis
00127,Endometrial ablation done in 2015 and menopause 2 years later.
00128,Is on Aztor 10 mg for 15 years
00129,Was diagnosed with Covid-19 in 2020 and was treated with medications.
00130,K/C/O HTN for 2 years and is on medication
00131,Tonsillectomy done in his childhood
00132,H/O C-section
00133,H/O surgery for a naso-oral fistula
00134,K/C/O hypertension for 2 years and is on triolmezest 40
00135,"H/O Trans metatarsal amputation of 2nd,3rd,4th and 5th toe in the right leg"
00136,ACL SURGERY
00137,PCL SURGERY
00138,urticaria
00139,obesity
00140,nothing
00141,Corhn's disease
00142,Hepatitis B +VE
00143,tubectomy
00144,coronary heart disease
00145,Was diagnosed with prostate cancer and had orchidectomy done on both the testes 5 years ago.
00146,Cataract surgery
00147,H/O c-section 30 years ago.
00148,Fatigue
00149,Low BP
00150,Gall bladder removal
00151,Left Knee Replacement
00152,Hypertension during dialysis
00153,Acute Gatstric Illness
00154,"hernia,hysterectomy*20yrs"
00155,Glaucoma
00156,Lumbar spondylosis
00157,Jaundice 2012
00158,Left knee joint Trauma
00159,Renal Calculi
00160,marina insetion in the uterus
00161,IBS
00162,H/O Thyroidectomy
00163,Had a craniotomy done
00164,Goiture removal
00165,Stent-2018
00166,Childhood- Hypertension-? Nephrotic syndrome
00167,Anaemia -Treated last year
00168,Appendectomy 2012
00169,Cyst -operated in 2015
00170,open heart surgery-2019
00171,Plandromic ARthritis and RA
00172,Depression in past
00173,benign cyst on left arm-operated
00174,Fungal Infection
00175,Had Breast lump surgery around-16yrs back
00176,Nil significant
00177,Severe menstrual cramps
00178,Ductal carcinoma- Had surgery 24 years ago
00179,? CML
00180,Prostate Hypertrophy
00181,tendency of Hypoglycaemia
00182,Prostate complications
00183,HRT
00184,Gestational Diabetes Mellitus
00185,"Ectopic , miscarriages-7yrs ago"
00186,Hydrocele
00187,IGUNIAL HERNIA-2YRS
00188,Long COVID
00189,Episodic Asthma
00190,Lumbar Fusion
00191,Pre Diabetes
00192,Underwent open mammectomy in 2017.
00193,Piles
00194,GERD
00195,Bladder amyloidosis
00196,ASD Clousre
00197,Both Parents -D.M
00198,Hernia
00199,fibroid removal in breast
00200,Appendectomy - 3 years ago
00201,Knee osteoarthrits 8 years ago
00202,Varicose veins Left Lower Limb
00203,M.I -2021
00204,Diabetes mellitus
00205,Lung TB -TREATED
00206,cholecystectomy
00207,Macular Degeneration
00208,DNS
00209,breast lump removal
00210,CVA-6Months ago Stent-1.5yrs ago
00211,Fracture left Wrist
00212,Surgery done for scoliosis at the age of 13
00213,PSORIATIC ARTHRITIS
00214,OSTEOPENIA
00215,Cervical Spondylosis
00216,Stomach ulcer
00217,Knee  and Thigh Operation after RTA
00218,ABDOMINAL OPERATION
00219,Breast cancer -operated - Chemo and Radiotherapy
00220,Opphrectomy
00221,? Lung issues
00222,ACL tear
00223,Diabetic Foot
00224,LSCS
00225,PTCA
00226,Prostatectomy
00227,Prostate cancer -OPERATED
00228,bypass-2018
00229,Fracture -Tibia- operated
00230,Pre-Diabetes
00231,Sinusitis-2002
00232,Fracture in Right Hip
00233,Prostate gland operated
00234,Appendectomy
00235,"Aneursym-Brain surgery sx twice-1988,2010"
00236,Grade 1 hemorrhoids + fistula
00237,"CAD - PTCA in 2021 , TURP in 2017"
00238,LSCS X 2
00239,Previous Renal calculi
00240,C-spine arthritis- compression- had surgery
00241,Proteinuria
00242,Nephrotic syndrome 2019 -2020
00243,Breast feeding now -5 months old child
00244,Cholecystectomy -2019
00245,Bronchitis
00246,Insulin Resistance
00247,Osteoporosis
00248,Endometriosis
00249,LSCS X2
00250,Right Wrist fracture -surgery
00251,VERICOSE VEIN
