"code","description"
        ,-                                                                                                   
00000001,GRBS                                                                                                
00000002,Female Reproductive Hormone                                                                         
00000003,Male reproductive Hormone                                                                           
00000004,I Cell Ab                                                                                           
00000005,IHC-NSE Marker                                                                                      
00000006,IHC- P53                                                                                            
00000007,IHC- CEA                                                                                            
00000008,IHC- CD79A                                                                                          
00000009,IHC - Thyroid Transcription Factor                                                                  
00000010,IHC - Thyroglobulin                                                                                 
00000011,IHC - Smooth Muscle Antigen                                                                         
00000012,IHC - S 100                                                                                         
00000013,IHC - PLAP                                                                                          
00000014,IHC - Pancytokeratin                                                                                
00000015,IHC - MPO                                                                                           
00000016,IHC - LMW-K                                                                                         
00000017,IHC - Inhibin                                                                                       
00000018,IHC - HMB 45                                                                                        
00000019,IHC - GFAP                                                                                          
00000020,IHC - GCDFP                                                                                         
00000021,IHC - Epithelial Membrane Antigen                                                                   
00000022,IHC - Desmin                                                                                        
00000023,IHC - Cytokeratin 20                                                                                
00000024,IHC - Cytokeratin 19                                                                                
00000025,IHC - CYCLIN-D                                                                                      
00000026,IHC - Chromogranin                                                                                  
00000027,IHC - CD5                                                                                           
00000028,IHC - CD43                                                                                          
00000029,IHC - CD30                                                                                          
00000030,IHC - CD3                                                                                           
00000031,IHC - CD23                                                                                          
00000032,IHC - CD20                                                                                          
00000033,IHC - CD15                                                                                          
00000034,IHC - CD117                                                                                         
00000035,IHC - CD10                                                                                          
00000036,IHC - BCL6                                                                                          
00000037,IHC - BCL2                                                                                          
00000038,IHC - ALK1                                                                                          
00000039,Factor-II (Prothrombin) Mutation Study                                                              
00000040,Glucose Tolerance Test - 5 samples                                                                  
00000041,Glucose Tolerance Test - 4 samples                                                                  
00000042,CD16                                                                                                
00000043,CD15                                                                                                
00000044,CD14                                                                                                
00000045,CD138                                                                                               
00000046,CD13                                                                                                
00000047,CD123                                                                                               
00000048,CD11c                                                                                               
00000049,CD11b                                                                                               
00000050,CD117                                                                                               
00000051,CD103                                                                                               
00000052,CD 10                                                                                               
00000053,Cyclosporine                                                                                        
00000054,Phosphorus-Urine Random                                                                             
00000055,Sodium-24 Hrs Urine                                                                                 
00000056,Magnesium-24 Hrs Urine                                                                              
00000057,Zinc-Urine                                                                                          
00000058,Urinary Stone Analysis                                                                              
00000059,Allergy (Drugs & Inhalants)                                                                         
00000060,Allergy Food (Veg)                                                                                  
00000061,Allergy Food (Veg + Non Veg)                                                                        
00000062,Allergy Drugs                                                                                       
00000063,Allergy Package Food (Asthma & Respiratory)                                                         
00000064,SARS-Cov-2-Anti Spike IgG Antibody                                                                  
00000065,Covid IgG Antibody                                                                                  
00000066,Covid-19 Antigen (Qualitative)                                                                      
00000067,Parietal Cell Antibody                                                                              
00000068,Intrinsic Factor Antibody - IFA                                                                     
00000069,Beta HCG - Tumor Marker                                                                             
00000070,Anti Treponema Pallidum (TPAB) antibody                                                             
00000071,Culture & Sensitivity - pediatric Aerobic Blood (Auto)                                              
00000072,Biopsy-Second Opinion-Slides and Block for Review(Upto 4 Blocks & Slides)                           
00000073,Biopsy-Second Opinion-Slides and Block for Review (5 to 10 Blocks/Slides)                           
00000074,Biopsy-Second Opinion-Slides and Block for Review (1 block/1 Slide)                                 
00000075,Dengue & Chikungunya Qualitative PCR                                                                
00000076,Chlamydia Trachomatis & Neisseria Gonorrhoeae Qualitative PCR                                       
00000077,Salmonella Qualitative PCR                                                                          
00000078,IHC-TFE 3                                                                                           
00000079,IHC PDL-1 (SP263-FDA approved clone)                                                                
00000080,IHC - TIA-1                                                                                         
00000081,IHC - Thyroid-Stimulating Hormone (TSH)                                                             
00000082,IHC - Terminal Deoxynucleotide Transferase (TdT)                                                    
00000083,IHC - SOX 2                                                                                         
00000084,IHC - SALL4                                                                                         
00000085,IHC - PSA (Prostatic Specific Antigen)                                                              
00000086,IHC - ps2 (Estrogen Regulated Protein)                                                              
00000087,IHC - PIN 4                                                                                         
00000088,IHC - P504S (Racemase)                                                                              
00000089,IHC - p40                                                                                           
00000090,IHC - Oct-2                                                                                         
00000091,IHC - OCT 3/4                                                                                       
00000092,IHC - NKX2.2                                                                                        
00000093,IHC - Napsin A                                                                                      
00000094,IHC - Myogenin                                                                                      
00000095,IHC - MUM-1                                                                                         
00000096,IHC - Microsatellite Instability for Colorectal Carcinoma PMS-2                                     
00000097,IHC - Microsatellite Instability for Colorectal Carcinoma MSH-6                                     
00000098,IHC - Microsatellite Instability for Colorectal Carcinoma MSH-2                                     
00000099,IHC - Microsatellite Instability for Colorectal Carcinoma MLH-1                                     
00000100,IHC - Melan A                                                                                       
00000101,IHC - MDM2                                                                                          
00000102,IHC - Mammaglobin                                                                                   
00000103,IHC - LYSOZYME                                                                                      
00000104,IHC - Langerin                                                                                      
00000105,IHC - Kappa/Lambda (Dual) Light Chain                                                               
00000106,IHC - IgG-4                                                                                         
00000107,IHC - HepPar 1/ HS A                                                                                
00000108,IHC - Hepatitis B Surface Antigen (HBsAg)                                                           
00000109,IHC - Hepatitis B core Antigen (HBcAg)                                                              
00000110,IHC - H-Caldesmon                                                                                   
00000111,IHC - GRANZYME B                                                                                    
00000112,IHC - GLYCOPHORIN-A                                                                                 
00000113,IHC - GLUT-1                                                                                        
00000114,IHC - GATA-3                                                                                        
00000115,IHC - GALECTIN-3                                                                                    
00000116,IHC - FLI-1                                                                                         
00000117,IHC - Factor XIII a                                                                                 
00000118,IHC - Epstein Barr virus - EBV-LMP                                                                  
00000119,IHC - EP CAM                                                                                        
00000120,IHC - CDX2                                                                                          
00000121,IHC - CD8                                                                                           
00000122,IHC - CD7                                                                                           
00000123,IHC - CD61                                                                                          
00000124,IHC - CD57                                                                                          
00000125,IHC - CD56                                                                                          
00000126,IHC - CD4                                                                                           
00000127,IHC - CD31                                                                                          
00000128,IHC - CD2                                                                                           
00000129,IHC - CD1a                                                                                          
00000130,IHC - CD 25                                                                                         
00000131,IHC - CD 123                                                                                        
00000132,IHC - Calcitonin                                                                                    
00000133,IHC - CA19.9                                                                                        
00000134,IHC - CA125                                                                                         
00000135,IHC - BOB1                                                                                          
00000136,IHC - BHCG                                                                                          
00000137,IHC - Beta catenin                                                                                  
00000138,IHC - BerEP4                                                                                        
00000139,IHC - ATRX                                                                                          
00000140,IHC - Alpha-1-Antitrypsin                                                                           
00000141,IHC - AFP (Alpha-Fetoprotein)                                                                       
00000142,IHC - AE1/AE3                                                                                       
00000143,IHC - CD68                                                                                          
00000144,CD8 (Suppressor T Cell Marker)                                                                      
00000145,CD79a (B Lymphoid Cell Marker)                                                                      
00000146,CD7 (Pan TÂ  Cell / Early Myeloid Cell Marker)                                                      
00000147,CD64 (Monocytic Macrophage Marker)                                                                  
00000148,CD61 (Megakaryocytic CellÂ  Marker)                                                                 
00000149,CD59                                                                                                
00000150,CD58 (PNH Marker)                                                                                   
00000151,CD55 (PNH Marker)                                                                                   
00000152,CD5 (T Cell / B Cell Subset)                                                                        
